ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
114,simple,,"Radiowave Shirt",1,1,visible,"One of our favorite designs in the collection. This tri-blend (50% Polyester, 25% Cotton, 25% Rayon) shirt comes in heather gray with 3 color water-based print.","The most common form of commercial T-shirt decoration is screen-printing. In screen-printing, a design is separated into individual colors. Plastisol or water based inks are applied to the shirt through mesh screens which limits the areas where ink is deposited. In most commercial T-shirt printing, the specific colors in the design are used.
\n<h3>100% Cotton White</h3>
\nTo achieve a wider color spectrum with a limited number of colors, process printing or simulated process is effective. Process printing is best suited for light colored shirts. Simulated process is best suited for dark colored shirts.
\n<h3>Eco-friendly Materials</h3>
\nBefore the hippie movement Rit Dye was known as a hobby for older women. Other methods of decorating shirts include using paints, markers, fabric transfer crayons, dyes, spray paint, and many more. Some techniques that can be used include sponging, stenciling, daubing, stamping, screen printing, bleaching, and many more.",,,taxable,,1,5,,0,0,,,,,1,,18,20,T-shirts,Featured,,"https://image-will-be-imported-locally/shirt-charcoal.jpg, https://image-will-be-imported-locally/shirt-green.jpg, https://image-will-be-imported-locally/shirt-gray.jpg, https://image-will-be-imported-locally/shirt-blue.jpg",,,,,,,,,10,,,,
115,simple,,"Quark Shirt",1,0,visible,"One of our favorite designs in the collection. This tri-blend (50% Polyester, 25% Cotton, 25% Rayon) shirt comes in heather gray with 3 color water-based print.","The most common form of commercial T-shirt decoration is screen-printing. In screen-printing, a design is separated into individual colors. Plastisol or water based inks are applied to the shirt through mesh screens which limits the areas where ink is deposited. In most commercial T-shirt printing, the specific colors in the design are used.
\n<h3>100% Cotton White</h3>
\nTo achieve a wider color spectrum with a limited number of colors, process printing or simulated process is effective. Process printing is best suited for light colored shirts. Simulated process is best suited for dark colored shirts.",,,taxable,,1,,,0,0,,,,,1,,,20,T-shirts,,,"https://image-will-be-imported-locally/shirt-blue.jpg, https://image-will-be-imported-locally/shirt-green.jpg, https://image-will-be-imported-locally/shirt-red.jpg, https://image-will-be-imported-locally/shirt-charcoal.jpg",,,,,,,,,9,,,,
116,simple,,"Topography Shirt",1,0,visible,"One of our favorite designs in the collection. This tri-blend (50% Polyester, 25% Cotton, 25% Rayon) shirt comes in heather gray with 3 color water-based print.","The most common form of commercial T-shirt decoration is screen-printing. In screen-printing, a design is separated into individual colors. Plastisol or water based inks are applied to the shirt through mesh screens which limits the areas where ink is deposited. In most commercial T-shirt printing, the specific colors in the design are used.
\n<h3>100% Cotton White</h3>
\nTo achieve a wider color spectrum with a limited number of colors, process printing or simulated process is effective. Process printing is best suited for light colored shirts. Simulated process is best suited for dark colored shirts.
\n<h3>Eco-friendly Materials</h3>
\nBefore the hippie movement Rit Dye was known as a hobby for older women. Other methods of decorating shirts include using paints, markers, fabric transfer crayons, dyes, spray paint, and many more. Some techniques that can be used include sponging, stenciling, daubing, stamping, screen printing, bleaching, and many more.",,,taxable,,1,,,0,0,,,,,1,,,20,T-shirts,,,"https://image-will-be-imported-locally/shirt-angles.jpg, https://image-will-be-imported-locally/shirt-gray.jpg, https://image-will-be-imported-locally/shirt-blue.jpg, https://image-will-be-imported-locally/shirt-charcoal.jpg",,,,,id:117,,,,16,,,,
117,variable,,"Pinwheel Hoodie",1,1,visible,"One of our favorite designs in the collection. Designed by the great Paul Rand, this triblend (50% Polyester, 25% Cotton, 25% Rayon) hoodie comes in heather gray with 3 color waterbased print. Manufactured and printed in the USA.","The most common form of commercial T-shirt decoration is screen-printing. In screen-printing, a design is separated into individual colors. Plastisol or water based inks are applied to the shirt through mesh screens which limits the areas where ink is deposited. In most commercial T-shirt printing, the specific colors in the design are used.\n<h3>100% Cotton White</h3>\nTo achieve a wider color spectrum with a limited number of colors, process printing or simulated process is effective. Process printing is best suited for light colored shirts. Simulated process is best suited for dark colored shirts.\n<h3>Eco-friendly Materials</h3>\nBefore the hippie movement Rit Dye was known as a hobby for older women. Other methods of decorating shirts include using paints, markers, fabric transfer crayons, dyes, spray paint, and many more. Some techniques that can be used include sponging, stenciling, daubing, stamping, screen printing, bleaching, and many more.",,,taxable,,1,,,0,0,,,,,1,,,,Hoodies,Featured,,"https://image-will-be-imported-locally/hoodie-blue.jpg, https://image-will-be-imported-locally/hoodie-red.jpg, https://image-will-be-imported-locally/hoodie-charcoal.jpg, https://image-will-be-imported-locally/hoodie-purple.jpg",,,,,,id:116,,,8,color,"Blue, Charcoal, Purple, Red",1,1
119,variable,,"Triangulum Hoodie",1,1,visible,"One of our favorite designs in the collection. Designed by the great Paul Rand, this triblend (50% Polyester, 25% Cotton, 25% Rayon) hoodie comes in heather gray with 3 color waterbased print. Manufactured and printed in the USA.","The most common form of commercial T-shirt decoration is screen-printing. In screen-printing, a design is separated into individual colors. Plastisol or water based inks are applied to the shirt through mesh screens which limits the areas where ink is deposited. In most commercial T-shirt printing, the specific colors in the design are used.\n<h3>100% Cotton White</h3>\nTo achieve a wider color spectrum with a limited number of colors, process printing or simulated process is effective. Process printing is best suited for light colored shirts. Simulated process is best suited for dark colored shirts.\n<h3>Eco-friendly Materials</h3>\nBefore the hippie movement Rit Dye was known as a hobby for older women. Other methods of decorating shirts include using paints, markers, fabric transfer crayons, dyes, spray paint, and many more. Some techniques that can be used include sponging, stenciling, daubing, stamping, screen printing, bleaching, and many more.",,,taxable,,1,,,0,0,,,,,1,,,,Hoodies,,,"https://image-will-be-imported-locally/hoodie-purple.jpg, https://image-will-be-imported-locally/hoodie-blue.jpg, https://image-will-be-imported-locally/hoodie-gray.jpg, https://image-will-be-imported-locally/hoodie-red.jpg",,,,,,,,,17,color,"Blue, Gray, Purple, Red",1,1
135,variation,,"Pinwheel Hoodie - Red",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-red.jpg,,,id:117,,,id:116,,,0,color,Red,,1
136,variation,,"Pinwheel Hoodie - Red",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-red.jpg,,,id:117,,,id:116,,,0,color,Red,,1
137,variation,,"Pinwheel Hoodie - Purple",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-purple.jpg,,,id:117,,,id:116,,,0,color,Purple,,1
138,variation,,"Pinwheel Hoodie - Charcoal",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-charcoal.jpg,,,id:117,,,id:116,,,0,color,Charcoal,,1
139,variation,,"Pinwheel Hoodie - Blue",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-blue.jpg,,,id:117,,,id:116,,,0,color,Blue,,1
140,variation,,"Pinwheel Hoodie - Blue",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-blue.jpg,,,id:117,,,id:116,,,0,color,Blue,,1
141,variation,,"Triangulum Hoodie - Red",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-red.jpg,,,id:119,,,,,,0,color,Red,,1
